ecg,ecg2,ecg3,rrIntervalList
9747.456,8039.68,34.816
9745.408,8106.24,13.056
9718.528,8158.208,16770.304
9736.96,8124.16,13.568
9781.248,8084.992,12.032
9778.432,8148.992,16765.184
9764.096,8195.584,16740.864
9785.088,8162.816,16768.768
9788.672,8106.496,24.832
9785.344,8174.848,6.144
9772.544,8223.232,16762.624
9749.504,8147.456,9.984
9739.008,8043.264,16769.792
9733.12,8105.984,16758.784
9718.016,8174.08,16755.456
9721.856,8128.512,1.792
9757.44,8081.664,13.312
9770.752,8151.296,16751.616
9765.12,8207.616,16724.48
9763.072,8144.384,16748.288
9783.552,8081.664,16755.456
9796.608,8146.432,16719.872
9777.92,8196.352,16692.992
9804.544,8172.544,16720.64
9838.848,8122.368,16728.576
9790.464,8133.632,16703.232
9731.328,8133.632,16671.232
9723.392,8065.024,16683.52
9751.04,8022.016,16715.776
9775.872,8112.896,16692.992
9781.504,8173.568,16648.448
9763.072,8093.952,16670.464
9752.32,8005.12,16676.096
9753.856,8076.032,16653.824
9746.432,8142.848,16636.672
9756.672,8099.584,16665.088
9806.08,8065.28,16666.112
9815.808,8125.44,16623.36
9769.728,8123.648,16580.352
9780.736,8071.168,16604.928
9835.264,8051.968,16619.264
9844.48,8128.0,16612.864
9831.424,8184.064,16590.08
9841.152,8137.472,16601.6
9890.56,8070.656,16575.744
9881.856,8113.92,16531.712
9807.616,8143.36,16536.32
9794.816,8080.128,16566.272
9859.072,8018.176,16542.208
9883.648,8078.336,16497.408
9849.6,8122.368,16484.096
9805.568,8035.328,16515.84
9804.288,7970.816,16543.232
9807.104,8068.608,16559.616
9761.536,8099.072,16543.488
9738.496,8013.056,16560.384
9753.856,7942.4,16558.336
9713.92,7960.832,16520.192
9680.128,7992.576,16506.88
9702.144,7967.488,16548.352
9743.36,7922.944,16542.72
9763.584,8002.816,16508.672
9754.624,8072.96,16506.112
9747.2,8008.704,16536.32
9738.24,7920.896,16552.448
9738.496,7991.552,16544.0
9751.296,8083.2,16527.36
9752.064,8036.608,16542.464
9739.008,7949.312,16549.632
9710.592,8008.96,16557.824
9657.088,8112.384,16640.768
9654.272,8124.16,16762.368
9772.288,8087.552,16717.824
9926.656,8185.088,16555.264
10166.528,8407.04,16393.216
10504.448,8753.408,16281.088
10802.176,9262.592,16215.04
10938.112,9733.632,16076.288
10788.352,9799.936,15968.512
10436.864,9197.312,15927.296
10069.504,8434.176,15980.544
9887.744,8169.216,16132.352
9900.032,8173.568,16248.832
9860.608,8140.8,16418.816
9790.208,8110.592,16563.456
9762.304,8185.6,16593.664
9759.232,8237.056,16568.32
9780.992,8195.84,16603.136
9808.64,8146.432,16633.088
9790.72,8177.664,16603.136
9749.504,8198.144,16576.256
9745.152,8140.544,16606.464
9745.664,8062.72,16606.976
9733.632,8114.944,16584.704
9718.016,8170.496,16574.976
9725.696,8123.136,16599.552
9754.624,8056.064,16591.872
9783.296,8136.192,16551.424
9790.464,8219.648,16544.512
9794.56,8168.704,16571.392
9823.232,8103.424,16561.92
9804.032,8146.432,16533.504
9731.84,8152.064,16529.152
9734.656,8100.864,16550.656
9774.336,8062.976,16555.52
9808.64,8173.568,16545.792
9826.304,8274.432,16538.624
9842.176,8231.424,16559.104
9858.048,8148.48,16541.44
9865.984,8210.432,16503.552
9900.288,8314.88,16473.856
9943.296,8302.08,16494.592
9961.984,8238.848,16501.248
9966.08,8313.088,16481.792
9955.584,8377.088,16460.032
9990.4,8339.456,16444.16
10061.824,8315.392,16419.584
10067.456,8387.84,16397.824
10002.688,8393.216,16368.896
9990.656,8319.232,16371.712
10051.328,8291.84,16372.736
10096.384,8391.68,16335.872
10124.288,8492.032,16323.584
10125.824,8456.704,16375.04
10117.888,8368.64,16392.448
10097.408,8414.72,16376.32
10036.992,8432.896,16390.144
9960.704,8303.616,16439.552
9909.76,8184.832,16486.656
9880.32,8232.448,16496.896
9847.296,8263.936,16471.808
9825.28,8183.552,16488.96
9812.736,8087.552,16496.896
9805.824,8123.392,16459.776
9803.008,8182.528,16452.864
9789.44,8119.04,16492.544
9787.904,8030.976,16494.08
9767.68,8064.512,16465.408
9730.048,8101.376,16450.048
9742.592,8051.712,16455.168
9777.408,7996.672,16457.216
9777.408,8071.68,16459.52
9742.848,8104.704,16433.92
9741.312,8040.704,16435.456
9772.032,7988.48,16440.064
9747.968,8028.416,16429.312
9701.632,8061.44,16429.824
9693.44,7997.184,16456.448
9718.016,7943.936,16462.336
9735.424,8028.16,16440.576
9745.92,8100.096,16416.256
9761.536,8071.168,16439.296
9783.296,8025.856,16460.288
9782.784,8092.928,16446.464
9772.032,8129.792,16412.16
9774.592,8067.328,16415.232
9815.808,8043.008,16445.952
9814.784,8110.336,16432.896
9778.432,8139.008,16397.824
9746.688,8061.184,16431.872
9719.296,7952.64,16437.76
9716.224,8008.96,16414.464
9727.488,8097.28,16402.688
9744.128,8064.256,16427.264
9797.12,8025.088,16421.376
9825.024,8104.192,16386.304
9767.424,8105.984,16363.52
9737.216,8014.848,16377.088
9786.368,7988.48,16395.008
9800.192,8064.0,16374.016
9766.144,8103.168,16373.248
9724.16,8014.08,16405.504
9726.976,7933.952,16406.272
9736.448,8004.608,16372.736
9739.008,8060.928,16336.128
9778.176,8032.512,16348.672
9844.224,8026.112,16364.544
9866.24,8110.08,16348.672
9799.68,8106.496,16333.312
9736.96,7985.152,16347.136
9761.536,7933.184,16354.048
9782.016,8012.544,16326.912
9772.288,8061.696,16303.616
9781.504,8012.288,16324.864
9807.104,7947.264,16315.136
9789.696,7982.336,16275.968
9769.984,8041.728,16272.384
